ProteinGroups,ProteinAccessions,Genes,ProteinDescriptions,UniProtIds,ProteinNames,FastaFiles,sample_01,sample_02,sample_03,sample_04,sample_05,sample_06,sample_07,sample_08,sample_09,sample_10,sample_11
Q8BIG7,Q8BIG7,Comtd1,Catechol O-methyltransferase domain-containing protein 1,Q8BIG7,CMTD1_MOUSE,UP000000589_mouse_reviewed_can_220920,93283.60938,71841.54688,74770.13281,75775.16406,71403.01563,81280.42969,71277.38281,72496.70313,73942.57031,70817.96094,63014.65234
Q8BII1,Q8BII1,Prox2,Prospero homeobox protein 2,Q8BII1,PROX2_MOUSE,UP000000589_mouse_reviewed_can_220920,1529.439697,Filtered,3986.16626,2576.483643,1463.04187,3391.821289,200.8490753,4949.394043,Filtered,2872.528564,Filtered
Q8BIJ6,Q8BIJ6,Iars2,"Isoleucine--tRNA ligase, mitochondrial",Q8BIJ6,SYIM_MOUSE,UP000000589_mouse_reviewed_can_220920,1401541.125,1346019.75,1273013.5,1287140.75,1318410.125,1276836.25,1236386.75,1212840.375,1121358.375,1095423.5,1167599
Q8BIJ7,Q8BIJ7,Rufy1,RUN and FYVE domain-containing protein 1,Q8BIJ7,RUFY1_MOUSE,UP000000589_mouse_reviewed_can_220920,52891.73438,58285.82422,56601.35547,59848.50781,45792.28906,43409.39063,49460.75391,45766.40625,51609.02734,38869.55078,50100.64453
Q8BIL5,Q8BIL5,Hook1,Protein Hook homolog 1,Q8BIL5,HOOK1_MOUSE,UP000000589_mouse_reviewed_can_220920,Filtered,8075.04541,1.761850595,Filtered,3050.144531,Filtered,Filtered,2914.025879,2513.967285,2621.689209,4565.027832
Q8BIP0,Q8BIP0,Dars2,"Aspartate--tRNA ligase, mitochondrial",Q8BIP0,SYDM_MOUSE,UP000000589_mouse_reviewed_can_220920,1195026.875,1061526.625,1142650.875,1056738.125,1161888,776253.375,721652.3125,807466.5,683273.6875,710003.1875,743572.3125
Q8BIQ5;Q8C7E9,Q8BIQ5;Q8C7E9,Cstf2;Cstf2t,Cleavage stimulation factor subunit 2;Cleavage stimulation factor subunit 2 tau variant,Q8BIQ5;Q8C7E9,CSTF2_MOUSE;CSTFT_MOUSE,UP000000589_mouse_reviewed_can_220920,103954.0859,127009.4844,123712.8906,115829.7656,117414.7031,83732.51563,71047.07813,102093.6094,123536.5234,112444.2188,132307.375
Q8BIW1,Q8BIW1,Prune1,Exopolyphosphatase PRUNE1,Q8BIW1,PRUN1_MOUSE,UP000000589_mouse_reviewed_can_220920,162582.2656,150898.9219,153084.4219,165850.1875,153932.5781,169589.4219,163116.3438,153399.2344,143236.0469,128150.7031,151290.0156
Q8BJ03,Q8BJ03,Cox15,Cytochrome c oxidase assembly protein COX15 homolog,Q8BJ03,COX15_MOUSE,UP000000589_mouse_reviewed_can_220920,88033.78906,93178.85156,91246.125,95578,86683.1875,99654.10938,111298.6172,92113.125,95657.92188,90410.9375,93988.11719
Q8BJ05,Q8BJ05,Zc3h14,Zinc finger CCCH domain-containing protein 14,Q8BJ05,ZC3HE_MOUSE,UP000000589_mouse_reviewed_can_220920,13510.14941,13477.73828,10338.42285,9902.020508,6226.442383,6127.92627,9243.945313,7715.415527,11623.71777,8704.678711,8889.217773
Q8BJ71,Q8BJ71,Nup93,Nuclear pore complex protein Nup93,Q8BJ71,NUP93_MOUSE,UP000000589_mouse_reviewed_can_220920,81423.73438,81383.92188,78860.39063,82701.6875,82143.95313,76296.625,70482.82031,69120.26563,82510.69531,76211.00781,77829.76563
Q8BJE2,Q8BJE2,Btnl9,Butyrophilin-like protein 9,Q8BJE2,BTNL9_MOUSE,UP000000589_mouse_reviewed_can_220920,43501.88281,44406.31641,45073.82031,46676.53516,47237.12109,51332.57422,46317.01563,52525.43359,39332.33594,33732.92578,43474.28125
Q8BJF9,Q8BJF9,Chmp2b,Charged multivesicular body protein 2b,Q8BJF9,CHM2B_MOUSE,UP000000589_mouse_reviewed_can_220920,178446.4063,140041.4375,150746.3438,163631.0938,165525.9375,158714.9688,157077.9063,133303.9688,156855.9844,126859.7891,117255.2969
Q8BJS4,Q8BJS4,Sun2,SUN domain-containing protein 2,Q8BJS4,SUN2_MOUSE,UP000000589_mouse_reviewed_can_220920,110930.5547,111399.9375,108431.7109,104957.5469,118032.7344,120277.2109,116417.5469,135839.4844,117393.8828,118410.1875,126553.1875
Q8BJU0,Q8BJU0,Sgta,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,Q8BJU0,SGTA_MOUSE,UP000000589_mouse_reviewed_can_220920,367316.5313,329279.0625,384512.875,367307.9063,363274.5,385148.6563,366549.0625,366136.1563,427195.2813,393410.2188,363552.125
Q8BJU2,Q8BJU2,Tspan9,Tetraspanin-9,Q8BJU2,TSN9_MOUSE,UP000000589_mouse_reviewed_can_220920,160318.8594,175310.9375,160032.9219,128145.8828,192647,147542.0625,136894.7188,145943.4219,141309.3125,154847.3281,142009.9844
Q8BJU9,Q8BJU9,Mtrf1l,"Peptide chain release factor 1-like, mitochondrial",Q8BJU9,RF1ML_MOUSE,UP000000589_mouse_reviewed_can_220920,62864.56641,55763.96875,70779.6875,67540.23438,44916.87891,64190.21094,54211.79688,57411.24609,58150.72656,40602.60547,53722.51563
Q8BJW6,Q8BJW6,Eif2a,Eukaryotic translation initiation factor 2A,Q8BJW6,EIF2A_MOUSE,UP000000589_mouse_reviewed_can_220920,286950.3438,296406.75,303087.0938,288116.8125,297794.5313,331114.875,288190.6563,290150.125,313437.9063,271326.0938,278319.75
Q8BJY1,Q8BJY1,Psmd5,26S proteasome non-ATPase regulatory subunit 5,Q8BJY1,PSMD5_MOUSE,UP000000589_mouse_reviewed_can_220920,167131.4531,173246.2813,176545.4219,171626.6406,161042.7031,174779,161623.75,167104.4375,171198.6875,150143.9531,163000.3438
Q8BJZ4,Q8BJZ4,Mrps35,"28S ribosomal protein S35, mitochondrial",Q8BJZ4,RT35_MOUSE,UP000000589_mouse_reviewed_can_220920,126942.8906,101278.9141,115479.5313,124429.4609,103546.8906,110224.4453,123995.6094,112264.9766,117014.8359,102902.4844,109103.9141
Q8BK03,Q8BK03,Miga2,Mitoguardin 2,Q8BK03,MIGA2_MOUSE,UP000000589_mouse_reviewed_can_220920,41945.90625,42761.49219,40326.33203,37201.88672,23791.49023,40526.03516,36005.22656,25274.92773,40015.47656,29662.9082,43174.12109
Q8BK08,Q8BK08,Tmem11,"Transmembrane protein 11, mitochondrial",Q8BK08,TMM11_MOUSE,UP000000589_mouse_reviewed_can_220920,306269.0938,285218.9375,300046.0625,288137.5938,267174.5,301365.125,343817.4375,320809.5625,253133.8906,242941.8438,266482.1875
Q8BK30,Q8BK30,Ndufv3,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",Q8BK30,NDUV3_MOUSE,UP000000589_mouse_reviewed_can_220920,5841955,6115496,6958334.5,5311880.5,6456000,7553395.5,6292038,7080129,6781109,7995359,6737313.5
Q8BK63,Q8BK63,Csnk1a1,Casein kinase I isoform alpha,Q8BK63,KC1A_MOUSE,UP000000589_mouse_reviewed_can_220920,68684.00781,68786.17969,73542.25,55945.64453,60378.58203,82174.125,51912.51563,60622.84375,65873.34375,46888.65625,64471.16406
Q8BK64,Q8BK64,Ahsa1,Activator of 90 kDa heat shock protein ATPase homolog 1,Q8BK64,AHSA1_MOUSE,UP000000589_mouse_reviewed_can_220920,402999.0625,418030.6875,439081,395047.5,402550.1563,407254.9688,438418.5938,419368.625,462702.125,467038.375,375624.3438
Q8BK67,Q8BK67,Rcc2,Protein RCC2,Q8BK67,RCC2_MOUSE,UP000000589_mouse_reviewed_can_220920,52676.33594,55246.30078,54790.19531,61467.71484,53428.39453,59206.01172,52303.85938,54085.92188,165720.5469,52612.46875,43350.58203
Q8BK72,Q8BK72,Mrps27,"28S ribosomal protein S27, mitochondrial",Q8BK72,RT27_MOUSE,UP000000589_mouse_reviewed_can_220920,151386.8281,142463.6094,151490.1094,134799.5,141443.7344,154099.6719,154114.5313,144491.2344,158697.1406,137961.7031,138836.4844
Q8BKC5,Q8BKC5,Ipo5,Importin-5,Q8BKC5,IPO5_MOUSE,UP000000589_mouse_reviewed_can_220920,221026.5156,215683.2813,221000.7031,223934.875,207232.0156,206199.3125,219003.2969,201680.6094,185302.3281,180181.8438,177642
Q8BKE6,Q8BKE6,Cyp20a1,Cytochrome P450 20A1,Q8BKE6,CP20A_MOUSE,UP000000589_mouse_reviewed_can_220920,16318.07422,13985.36914,14610.20117,14347.68164,11823.08789,9098.006836,9131.249023,12296.3623,2652.722168,3469.980713,7578.279297
Q8BKI2,Q8BKI2,Tnrc6b,Trinucleotide repeat-containing gene 6B protein,Q8BKI2,TNR6B_MOUSE,UP000000589_mouse_reviewed_can_220920,1387.63855,2016.273071,1644.684937,57.07203293,895.9870605,2140.451172,114.2683792,1201.700562,1914.314087,713.1071167,935.3913574
Q8BKY8,Q8BKY8,Mterf2,"Transcription termination factor 2, mitochondrial",Q8BKY8,MTEF2_MOUSE,UP000000589_mouse_reviewed_can_220920,163250.3906,150563.1563,148119.9375,138752.375,135969.7969,247971.5156,223918.2656,242414.9375,179372.625,174997.9688,181773.9531
Q8BKZ9,Q8BKZ9,Pdhx,"Pyruvate dehydrogenase protein X component, mitochondrial",Q8BKZ9,ODPX_MOUSE,UP000000589_mouse_reviewed_can_220920,1757718.125,1654933,1656947.625,1701337.125,1892577.875,1839879.125,1677807.625,1835377,2102974,1983086.875,1864581.75
Q8BL65,Q8BL65,Ablim2,Actin-binding LIM protein 2,Q8BL65,ABLM2_MOUSE,UP000000589_mouse_reviewed_can_220920,140464.2031,161872.5938,153483.1563,141404.3594,140628.9531,139310.0781,142164.25,140803.2969,166266.2813,166484.0156,188186.3594
Q8BL66,Q8BL66,Eea1,Early endosome antigen 1,Q8BL66,EEA1_MOUSE,UP000000589_mouse_reviewed_can_220920,83326.28906,77404.25781,80099.04688,86353.39063,75947.26563,88344.67188,74720.09375,75684.42969,86243.71094,75751.46875,84691.5625
Q8BL97,Q8BL97,Srsf7,Serine/arginine-rich splicing factor 7,Q8BL97,SRSF7_MOUSE,UP000000589_mouse_reviewed_can_220920,576285.0625,600621.5,640793.1875,659368.6875,647441.4375,552256.5,522228.1875,617666.875,619515.9375,504724.8125,549492.625
Q8BLA8,Q8BLA8,Trpa1,Transient receptor potential cation channel subfamily A member 1,Q8BLA8,TRPA1_MOUSE,UP000000589_mouse_reviewed_can_220920,6052.04248,Filtered,5242.454102,9727.619141,Filtered,42830.80859,15647.59863,Filtered,32191.74805,327.8544006,11260.32422
Q8BLF1,Q8BLF1,Nceh1,Neutral cholesterol ester hydrolase 1,Q8BLF1,NCEH1_MOUSE,UP000000589_mouse_reviewed_can_220920,509295.4063,559080.5625,541527.1875,490667.9688,503742.4063,625365.8125,652579.6875,641590.6875,619069.1875,621789.5625,654969.875
Q8BLY2,Q8BLY2,Tars3,"Threonine--tRNA ligase 2, cytoplasmic",Q8BLY2,SYTC2_MOUSE,UP000000589_mouse_reviewed_can_220920,142828.2188,157304.2969,145400.6719,131666.7969,147053.6406,179806.9688,186531.5938,188633.6094,180212.5625,157905.7031,176703.7188
Q8BM96,Q8BM96,Adgrg7,Adhesion G-protein coupled receptor G7,Q8BM96,AGRG7_MOUSE,UP000000589_mouse_reviewed_can_220920,4678917,4527359,4716909,4676989,4945867.5,5449495,4686914.5,5316075,4689489.5,4140631.75,4669673
Q8BMA6,Q8BMA6,Srp68,Signal recognition particle subunit SRP68,Q8BMA6,SRP68_MOUSE,UP000000589_mouse_reviewed_can_220920,93858.19531,107372.4141,104010.5,104205.9609,100032.1484,97502.53125,84502.40625,99998.96094,105307.0703,100761.4375,110190.6797
Q8BMF3,Q8BMF3,Me3,"NADP-dependent malic enzyme, mitochondrial",Q8BMF3,MAON_MOUSE,UP000000589_mouse_reviewed_can_220920,432251.1875,399292.5625,385313.1563,400136.3125,391427.375,513086.4375,541219.875,518087.1563,446469.6563,469012,512007.9063
Q8BMF4,Q8BMF4,Dlat,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Q8BMF4,ODP2_MOUSE,UP000000589_mouse_reviewed_can_220920,15914072,15750353,15369259,15930017,16109116,16049290,15313862,16491184,16368305,16704380,17110600
Q8BMG7,Q8BMG7,Rab3gap2,Rab3 GTPase-activating protein non-catalytic subunit,Q8BMG7,RBGPR_MOUSE,UP000000589_mouse_reviewed_can_220920,20060.3457,19171.90039,20886.13672,17189.27148,6292.352051,3175.36792,19048.91602,8356.670898,6560.009766,8027.03125,3184.703125
Q8BMJ2,Q8BMJ2,Lars1,"Leucine--tRNA ligase, cytoplasmic",Q8BMJ2,SYLC_MOUSE,UP000000589_mouse_reviewed_can_220920,203660.7969,203968.9219,197200.2969,199282.4844,200753.8125,245464.0781,212858.5938,233627.7188,240610.3594,229801.6719,234242.6563
Q8BMJ3,Q8BMJ3,Eif1ax,"Eukaryotic translation initiation factor 1A, X-chromosomal",Q8BMJ3,IF1AX_MOUSE,UP000000589_mouse_reviewed_can_220920,65335.16016,73578.3125,60181.53125,54242.21875,60520.76563,53405.22266,58629.33203,61916.51563,63856.73828,50874.08984,54755.60547
Q8BMK4,Q8BMK4,Ckap4,Cytoskeleton-associated protein 4,Q8BMK4,CKAP4_MOUSE,UP000000589_mouse_reviewed_can_220920,4265413.5,3912826.75,3937499.75,4080462.5,4665945,2295004.25,2567452.25,2600234.75,2223842.25,2363265,2196210.75
Q8BML9,Q8BML9,Qars1,Glutamine--tRNA ligase,Q8BML9,SYQ_MOUSE,UP000000589_mouse_reviewed_can_220920,254478.875,251847.5625,246185.2031,244157.5156,246586.7656,303942.4063,283334.75,295344.8438,277913.5313,272361.5313,284616.4688
Q8BMP6,Q8BMP6,Acbd3,Golgi resident protein GCP60,Q8BMP6,GCP60_MOUSE,UP000000589_mouse_reviewed_can_220920,96458.60938,85077.75781,94040.85938,96727.70313,101731.7188,80677.9375,85355.99219,79044.92188,92849.71094,87859.39063,71137.91406
Q8BMS1,Q8BMS1,Hadha,"Trifunctional enzyme subunit alpha, mitochondrial",Q8BMS1,ECHA_MOUSE,UP000000589_mouse_reviewed_can_220920,24249230,22863296,23318342,23860694,23252222,29031424,26530004,25333316,25078134,24282640,27989452
Q8BMS4,Q8BMS4,Coq3,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",Q8BMS4,COQ3_MOUSE,UP000000589_mouse_reviewed_can_220920,1395986.625,1380769,1276219.875,1332871.875,1395464.875,1712521.875,1759181.25,1537082.375,1364759.125,1344384.625,1478058.875
Q8BNI4,Q8BNI4,Derl2,Derlin-2,Q8BNI4,DERL2_MOUSE,UP000000589_mouse_reviewed_can_220920,58455.88672,80563.27344,69801.67188,58792.88281,81780.91406,59908.71875,64202.71875,86506.14844,74096.17969,111430.0313,91135.22656
Q8BNU0,Q8BNU0,Armc6,Armadillo repeat-containing protein 6,Q8BNU0,ARMC6_MOUSE,UP000000589_mouse_reviewed_can_220920,277401.9375,480830.7813,385032.8438,214039.0313,550357.0625,714492.25,731448.625,532456.375,536390.0625,274755.5313,543193.625
Q8BP27,Q8BP27,Sfr1,Swi5-dependent recombination DNA repair protein 1 homolog,Q8BP27,SFR1_MOUSE,UP000000589_mouse_reviewed_can_220920,15985.78223,16498.10156,17957.41992,15628.32715,15066.65234,9906.476563,17328.39648,13818.29297,19696.22266,16781.56836,17364.25195
Q8BP40,Q8BP40,Acp6,Lysophosphatidic acid phosphatase type 6,Q8BP40,PPA6_MOUSE,UP000000589_mouse_reviewed_can_220920,1679990,1972642.125,2207911,1643930.625,1690786.875,2014634.875,1952522.375,1995098.75,1859456.875,1976883.375,1795737.375
Q8BP47,Q8BP47,NARS1,"Asparagine--tRNA ligase, cytoplasmic",Q8BP47,SYNC_MOUSE,UP000000589_mouse_reviewed_can_220920,249795.0469,255400.9219,263707.5313,273107.1563,222234.6875,253033.7969,275324.2813,254793.0938,331473.4063,280627.5,271076.9688
Q8BP48,Q8BP48,Metap1,Methionine aminopeptidase 1,Q8BP48,MAP11_MOUSE,UP000000589_mouse_reviewed_can_220920,66244.71875,46624.99609,67128,61400.05078,55842.24609,77287.53125,69426.66406,60870.03516,65465.50391,58068.35547,66477.03125
Q8BP67,Q8BP67,Rpl24,60S ribosomal protein L24,Q8BP67,RL24_MOUSE,UP000000589_mouse_reviewed_can_220920,289990.9375,227189.3906,275579.4688,245722.3281,237733.2813,284150.2188,261060.5469,283292.2188,188748.9219,201254.9688,270758.0313
Q8BP92,Q8BP92,Rcn2,Reticulocalbin-2,Q8BP92,RCN2_MOUSE,UP000000589_mouse_reviewed_can_220920,89301.25781,91647.42188,82673.03906,88343.22656,101688.25,84442.17188,57816.98047,93945.61719,110939.7578,109176.6953,104339.1719
Q8BPB0;Q921Y0,Q8BPB0;Q921Y0,Mob1b;Mob1a,MOB kinase activator 1B;MOB kinase activator 1A,Q8BPB0;Q921Y0,MOB1B_MOUSE;MOB1A_MOUSE,UP000000589_mouse_reviewed_can_220920,59989.55078,59050.91406,61025.5625,61926.32813,53303.75781,44222.08594,49520.23828,52482.86328,58008.24219,49776.42578,51715.64063
Q8BPB5,Q8BPB5,Efemp1,EGF-containing fibulin-like extracellular matrix protein 1,Q8BPB5,FBLN3_MOUSE,UP000000589_mouse_reviewed_can_220920,155328.125,155547.6094,138262.5156,168244.2813,159588.7031,101244.2813,119543.6406,129451.4609,161352.4531,162065.8438,134423.5469
Q8BPE4,Q8BPE4,Tmem177,Transmembrane protein 177,Q8BPE4,TM177_MOUSE,UP000000589_mouse_reviewed_can_220920,172413.1875,129923.1328,149300.0469,125586.3516,101669.4609,143991.9375,150342.375,111738.4531,134970.8594,102091.6563,104832.25
Q8BPM0,Q8BPM0,Daam1,Disheveled-associated activator of morphogenesis 1,Q8BPM0,DAAM1_MOUSE,UP000000589_mouse_reviewed_can_220920,33277.16016,39823.08203,32805.20703,30177.57617,31872.12695,27780.73828,27424.26758,27714.36719,27178.69531,22778.26563,21145.20117
Q8BQM4,Q8BQM4,Heatr3,HEAT repeat-containing protein 3,Q8BQM4,HEAT3_MOUSE,UP000000589_mouse_reviewed_can_220920,27151.49609,22915.2793,23891.7168,11714.58203,20657.59375,15264.80762,29317.51563,24399.30469,27628.49414,22016.33203,18828.9375
Q8BQZ4,Q8BQZ4,Ralgapb,Ral GTPase-activating protein subunit beta,Q8BQZ4,RLGPB_MOUSE,UP000000589_mouse_reviewed_can_220920,19638.60352,23231.8457,18715.44727,18743.77539,22003.14258,20955.56641,21294.75977,23503.45898,22209.9668,19853.34961,21081.07031
Q8BR37,Q8BR37,Nhlrc1,E3 ubiquitin-protein ligase NHLRC1,Q8BR37,NHLC1_MOUSE,UP000000589_mouse_reviewed_can_220920,8734.25,14620.30469,14543.89453,5278.922363,10051.88379,15618.97754,10611.79199,18438.86914,12746.86719,18943.27148,12302.21875
Q8BR63,Q8BR63,Fam177a1,Protein FAM177A1,Q8BR63,F177A_MOUSE,UP000000589_mouse_reviewed_can_220920,93354.42188,93401.5625,81780.10938,100320.8906,80965.20313,67256.88281,99767.29688,74113.6875,104763.9531,63681.05469,77933.86719
Q8BR90,Q8BR90,Rimoc1,RAB7A-interacting MON1-CCZ1 complex subunit 1,Q8BR90,RIMC1_MOUSE,UP000000589_mouse_reviewed_can_220920,259910.75,160286.7188,268277.0938,216911.8594,103894.0859,261686.0938,186889.8438,252241.5156,225552.0313,88452.46875,169935.2344
Q8BR92,Q8BR92,Palm2,Paralemmin-2,Q8BR92,PALM2_MOUSE,UP000000589_mouse_reviewed_can_220920,193572.9063,106442.4141,177724.3281,181364.4219,125154.3984,154792.5781,106608.4141,55551.91797,74308.40625,45593.58203,82412.03906
Q8BRF7,Q8BRF7,Scfd1,Sec1 family domain-containing protein 1,Q8BRF7,SCFD1_MOUSE,UP000000589_mouse_reviewed_can_220920,68959.14063,73854.67188,74019.47656,74276.44531,74460.99219,69597.36719,60958.62891,77761.28125,83775.48438,82424.74219,79474.92969
Q8BRK8,Q8BRK8,Prkaa2,5'-AMP-activated protein kinase catalytic subunit alpha-2,Q8BRK8,AAPK2_MOUSE,UP000000589_mouse_reviewed_can_220920,340994.5,305011.5313,311695.2813,303731.0625,283550.5625,316646.3438,309138.7188,263700.3438,256462.375,255699.1563,300001.8125
Q8BRT1,Q8BRT1,Clasp2,CLIP-associating protein 2,Q8BRT1,CLAP2_MOUSE,UP000000589_mouse_reviewed_can_220920,33189.32031,30879.63477,30128.1543,30342.99219,24786.76758,33706.44531,33478.46875,33466.27344,33868.39844,27937.9043,30845.84766
Q8BSD5,Q8BSD5,She,SH2 domain-containing adapter protein E,Q8BSD5,SHE_MOUSE,UP000000589_mouse_reviewed_can_220920,12947.82813,4525.205078,12025.76367,12318.45313,2555.309082,3029.835693,14049.17676,4603.62207,5410.623535,3129.526123,3781.847168
Q8BSF4,Q8BSF4,Pisd,"Phosphatidylserine decarboxylase proenzyme, mitochondrial",Q8BSF4,PISD_MOUSE,UP000000589_mouse_reviewed_can_220920,69180.17969,63733.00391,79318.21094,71048.98438,62091.34375,45625.46094,43531.71484,44965.77734,50425.48438,43991.65625,50249.32813
Q8BSY0,Q8BSY0,Asph,Aspartyl/asparaginyl beta-hydroxylase,Q8BSY0,ASPH_MOUSE,UP000000589_mouse_reviewed_can_220920,420568.5,458975.6563,460384.875,446328.7813,463549.1563,368888.1563,352220.8125,366452.9375,373751.5313,386936.625,402463.9063
Q8BSZ2,Q8BSZ2,Ap3s2,AP-3 complex subunit sigma-2,Q8BSZ2,AP3S2_MOUSE,UP000000589_mouse_reviewed_can_220920,9292.424805,73221.78125,27607.05859,18628.53516,68242.51563,38480.55859,Filtered,75716.04688,51383.39844,59637.03516,72513.57813
Q8BT51,Q8BT51,COA4,"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial",Q8BT51,COA4_MOUSE,UP000000589_mouse_reviewed_can_220920,83342.28125,116616.4375,85445.52344,94263.04688,114815.3047,45843.50781,48427.95313,65508.71484,40692.76563,79075.24219,47052.49609
Q8BT60,Q8BT60,Cpne3,Copine-3,Q8BT60,CPNE3_MOUSE,UP000000589_mouse_reviewed_can_220920,191634.9844,185181.5625,185020.2813,191003.0938,182516.3594,169004.1563,170889.0781,158849.4375,154493.7344,156808.5938,172099.6563
Q8BTE0,Q8BTE0,Sdhaf4,"Succinate dehydrogenase assembly factor 4, mitochondrial",Q8BTE0,SDHF4_MOUSE,UP000000589_mouse_reviewed_can_220920,57816.33594,57634.02734,63257.28516,68728.53125,67055.91406,47972.23438,63427.68359,81239.73438,69525.92188,83783.33594,68187.96875
Q8BTE5,Q8BTE5,Cebpzos,Protein CEBPZOS,Q8BTE5,CEBOS_MOUSE,UP000000589_mouse_reviewed_can_220920,236755.75,233051.7344,266687.25,175557,201615.5,172523.4375,128179.1563,197233.8906,94238.85156,143350.1563,142434.9063
Q8BTI8,Q8BTI8,Srrm2,Serine/arginine repetitive matrix protein 2,Q8BTI8,SRRM2_MOUSE,UP000000589_mouse_reviewed_can_220920,133400.5156,132708.25,165485.25,140489.875,140355.8594,92642.11719,98629.82813,115414.9375,124214.9141,87548.46875,102378.1563
Q8BTJ4,Q8BTJ4,Enpp4,Bis(5'-adenosyl)-triphosphatase enpp4,Q8BTJ4,ENPP4_MOUSE,UP000000589_mouse_reviewed_can_220920,63214.44922,58929.48438,54571.40625,67434.45313,59764.82031,51240.79297,55558.88672,57497.94922,64576.02344,57787.25391,69661.28125
Q8BTM8,Q8BTM8,Flna,Filamin-A,Q8BTM8,FLNA_MOUSE,UP000000589_mouse_reviewed_can_220920,1578992.375,1760120.875,1385744.25,1703225.375,1591804.625,924875,1032024.438,949114.625,1769146.25,1722435.125,1192185.375
Q8BTS4,Q8BTS4,Nup54,Nuclear pore complex protein Nup54,Q8BTS4,NUP54_MOUSE,UP000000589_mouse_reviewed_can_220920,37635.17969,38901.92188,33911.64063,43026.87891,36251.12109,31974.4043,36132.1875,30637.65039,31904.24023,31767.36523,31601.43555
Q8BTX9,Q8BTX9,Hsdl1,Inactive hydroxysteroid dehydrogenase-like protein 1,Q8BTX9,HSDL1_MOUSE,UP000000589_mouse_reviewed_can_220920,157996.3594,137491.5781,151843.7969,147119.2188,110572.2891,174023.7031,150533.2969,136586.4375,133474.6094,105536.6875,133076.8438
Q8BTY1,Q8BTY1,Kyat1,Kynurenine--oxoglutarate transaminase 1,Q8BTY1,KAT1_MOUSE,UP000000589_mouse_reviewed_can_220920,513630.125,640362.3125,593139.125,536239.875,543430.625,441084.9375,519541.2188,508677.625,450803,516295.9063,483460.2188
Q8BTZ7,Q8BTZ7,Gmppb,Mannose-1-phosphate guanyltransferase beta,Q8BTZ7,GMPPB_MOUSE,UP000000589_mouse_reviewed_can_220920,120097.7188,129976.0859,116625.6953,119197.0469,116129.6094,126850.9609,122907.2656,123895.1641,129546.3359,116502.5703,125914.8594
Q8BU14,Q8BU14,Sec62,Translocation protein SEC62,Q8BU14,SEC62_MOUSE,UP000000589_mouse_reviewed_can_220920,2585.685547,813.3445435,Filtered,9961.117188,1361.298096,1389.062744,Filtered,2517.018555,3274.545654,15251.16602,1943.282959
Q8BU30,Q8BU30,Iars1,"Isoleucine--tRNA ligase, cytoplasmic",Q8BU30,SYIC_MOUSE,UP000000589_mouse_reviewed_can_220920,198588.4219,199990.9219,195744.8125,185295.25,187747.5156,249413.8281,220948.5,236322.4844,203294.875,199476.375,213835.7969
Q8BU31,Q8BU31,Rap2c,Ras-related protein Rap-2c,Q8BU31,RAP2C_MOUSE,UP000000589_mouse_reviewed_can_220920,62822.46484,49006.95313,64044.96484,57383.34375,47181.23047,41097.53516,62183.72656,39143.48828,45090.52344,35217.60938,37620.92188
Q8BU33,Q8BU33,Ilvbl,2-hydroxyacyl-CoA lyase 2,Q8BU33,HACL2_MOUSE,UP000000589_mouse_reviewed_can_220920,46802.46875,45205.77734,51307.06641,47615.56641,48784.12109,62781.9375,68023.84375,59282.60938,51579.39844,53517.58203,46460.13281
Q8BU85,Q8BU85,Msrb3,"Methionine-R-sulfoxide reductase B3, mitochondrial",Q8BU85,MSRB3_MOUSE,UP000000589_mouse_reviewed_can_220920,251109.4219,256410.9375,264357.5,273115.625,251329.8125,268294.3125,240661.4063,224968.1719,217839.1875,238762.3594,244244.0625
Q8BU88,Q8BU88,Mrpl22,"39S ribosomal protein L22, mitochondrial",Q8BU88,RM22_MOUSE,UP000000589_mouse_reviewed_can_220920,78256.75,56989.5625,59016.3125,68115.29688,54998.42969,82950.60156,80346.64844,70130.57031,67886,57133.4375,60763.61719
Q8BUE4,Q8BUE4,Aifm2,Ferroptosis suppressor protein 1,Q8BUE4,FSP1_MOUSE,UP000000589_mouse_reviewed_can_220920,45484.72656,27701.14844,37830.31641,38954.86328,28998.79102,47362.28516,44362.875,37465.58594,57985.57813,41141.375,48246.4375
Q8BUK6,Q8BUK6,Hook3,Protein Hook homolog 3,Q8BUK6,HOOK3_MOUSE,UP000000589_mouse_reviewed_can_220920,86497.82813,99430.57031,87365.01563,97514.90625,103333.6172,103510.9297,93936.50781,85730.57031,97631.4375,97283.0625,107527.9609
Q8BUR4,Q8BUR4,Dock1,Dedicator of cytokinesis protein 1,Q8BUR4,DOCK1_MOUSE,UP000000589_mouse_reviewed_can_220920,6683.619141,6750.400879,7310.539063,6369.881836,6188.544922,7863.925293,6334.26123,8254.430664,5622.15332,5993.25293,4801.182617
Q8BUV3,Q8BUV3,Gphn,Gephyrin,Q8BUV3,GEPH_MOUSE,UP000000589_mouse_reviewed_can_220920,106681.4297,99336.00781,107149.0547,106102.0781,109170.1641,92634.5,110176.625,96848.75,104258.7969,98531.78125,108170.4688
