Location	chr	gene_name
30572250	16	AC002310.2
520391	7	AC147651.1
155836689	CHR_HSCHR4_1_CTG12	ASIC5
53854581	19	AC008440.1
81113385	5	AC026427.1
73513612	17	AC124804.1
143758153	8	AC105219.4
69269984	10	HK1
62349941	9	AL590399.3
87700984	2	AC093616.1
85452282	11	AP003035.1
17782210	Y	USP9YP23
52473336	19	AC010332.2
12093627	16	AC007601.2
12086746	16	AC007601.1
18411159	17	LINC02076
192749845	2	PCGEM1
122990806	10	IKZF5
131641714	5	FNIP1
43976815	19	AC006213.4
99181079	2	MRPL30
57935074	CHR_HSCHR12_1_CTG2_1	AC084033.5
41219203	19	AXL
186364598	2	MED28P3
186162949	2	AC104058.1
186261419	2	RPL23AP35
142111749	CHR_HSCHR7_2_CTG6	MGAM2
3308565	X	MXRA5
63229087	6	AL450346.2
70698698	14	LINC01269
53628380	6	LINC01564
22002903	9	CDKN2B
49071470	X	WDR45
12973033	17	AC005274.1
122670385	8	LINC01151
99598066	7	TMEM225B
1820267	12	LRTM2
57941541	CHR_HSCHR12_1_CTG2_1	ATP23
192969	7	FAM20C
18442663	19	ELL
73985132	2	AC073046.1
96118647	7	AC002540.1
110863987	13	LINC00346
13157959	19	RPL12P42
94176602	9	MIRLET7DHG
23878981	3	ARL4AP4
62183035	10	RTKN2
26857678	4	STIM2
27224991	16	NSMCE1
42692112	22	A4GALT
121380137	8	RPL35AP19
46533669	19	AC011551.1
46547056	19	AC093503.1
46558641	19	GAPDHP38
43349644	3	SNRK-AS1
15741151	16	AF001548.1
36535392	CHR_HSCHR17_7_CTG4	PIGW
7581964	17	AC016876.1
8508069	16	AC074052.1
54360973	CHR_HSCHR19LRC_PGF1_CTG3_1	CU207370.1
121113358	8	AC011626.1
23390606	CHR_HSCHR22_1_CTG6	ZDHHC8P1
3112900	X	AC112653.1
132130091	X	AL049792.1
3041471	X	ARSF
75835663	7	AC005102.1
99486519	7	ZNF394
33050172	CHR_HSCHR6_MHC_MANN_CTG1	HLA-Z
229701794	2	AC007559.1
46703369	16	MYLK3
30443631	16	SEPHS2
43092956	21	U2AF1
103215709	10	ST13P13
74766991	5	NSA2
89882353	7	STEAP2-AS1
45396932	17	AC003070.1
90119400	7	DPY19L2P4
14081075	Y	PNPLA4P1
9839143	11	AC011092.2
40331452	15	CCDC9B
2566410	CHR_HSCHR1_1_CTG3	AL139246.6
136648193	X	CD40LG
150777946	5	SMIM3
89443974	7	AC002383.1
14987680	CHR_HSCHR16_1_CTG1	AC243651.1
18683169	12	PLCZ1
18049232	5	RPL36AP21
54754923	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	KIR2DP1
33291654	6	RGL2
106875299	CHR_HSCHR14_3_CTG1	IGHV5-78
67659820	14	AL049779.1
207186717	2	AC007879.3
73892314	2	ACTG2
33289302	6	PFDN6
125113161	11	KRT18P59
10602457	19	SLC44A2
36274563	CHR_HSCHR17_7_CTG4	AC233699.6
107028213	6	C6orf203
17654870	5	H3.Y
106852045	CHR_HSCHR14_3_CTG1	IGHV3-76
41877074	2	LINC01913
3321862	11	NDUFA5P1
23790970	1	LYPLA2
17642962	5	AC233724.4
62715450	18	PHLPP1
1286351	16	TPSP2
17625551	5	AC233724.10
82128535	4	HNRNPA3P13
1280161	16	AC120498.5
1273751	16	AC120498.7
79848058	17	AC100791.1
185547135	2	AC080125.1
35869263	9	OR13J1
41194741	3	CTNNB1
62255686	15	AC126323.4
34102073	15	PGBD4
42685404	20	AL031656.1
148649547	7	AC005229.3
153880672	X	U52112.1
60938204	2	AC010733.1
33540185	8	RPL10P18
48412303	X	AL606490.5
48423342	X	AL606490.4
48433201	X	AL606490.8
33547755	8	RNF122
153861514	X	L1CAM
63917200	17	GH1
41098329	20	PLCG1-AS1
6263068	19	AC011471.3
6259157	19	AC011471.2
6210379	19	MLLT1
41196647	20	AL022394.1
15075445	18	AP005242.1
18588781	11	SPTY2D1OS
15159724	18	AP005901.2
1260952	16	PRSS29P
183214319	2	AC021851.1
3226061	11	AC109309.1
17494437	17	RASD1
3227698	11	MRGPRE
183260642	2	LIN28AP1
15196999	18	AP005901.3
183607442	2	CACYBPP2
42606694	20	AL035666.1
122364782	12	RPL21P1
69038518	5	AC010273.2
30331961	8	AC109329.1
30249502	8	AC090820.1
68963246	5	AC093248.1
30197404	8	AC026979.3
135681237	7	SLC13A4
19127469	17	GRAPL
19150279	17	AC007952.9
245749342	1	SMYD3
19112000	17	AC007952.4
97093694	9	VN1R51P
68393881	9	AL161457.2
245206444	1	KIF26B-AS1
53210567	12	RARG
245673732	1	AC104462.1
68523878	5	AC010280.3
68531690	5	AC010280.1
137170858	9	TMEM210
35122022	1	EFCAB14P1
244969350	1	AL356512.1
113142350	3	LINC02044
51340695	19	AC008750.3
13339201	7	AC011287.2
241118725	2	AC005237.2
45179822	19	AC005779.2
27397121	10	PTCHD3
65084223	11	ZFPL1
97067749	9	TCEA1P1
226438564	1	AL359704.1
45079195	19	GEMIN7
76710658	14	AC007376.2
76495363	14	AC008050.1
22064698	Y	CDY12P
64953683	17	SLC16A6P1
11654375	1	FBXO44
144584040	8	AC084125.3
144529179	8	ARHGAP39
92198969	7	KRIT1
19082437	17	KYNUP2
7761330	8	FAM90A9P
20161253	1	PLA2G2C
48385417	12	OR5BT1P
48442030	12	OR8T1P
5576660	19	SNRPEP4
25255579	15	AC124303.2
24978583	15	SNHG14
168576473	1	XCL1
8693351	11	ST5
107258700	4	AC104663.1
112696908	3	AC048334.1
145005058	7	EI24P4
69242628	4	AC114786.1
29045035	CHR_HSCHR6_MHC_SSTO_CTG1	OR2W1
48198387	12	AC024257.3
8612037	11	TRIM66
32775123	CHR_HSCHR6_MHC_MCF_CTG1	HLA-DQA2
75401195	4	AC096759.2
75354076	4	LINC02483
30648797	15	AC091057.3
22049755	Y	USP9YP17
19063346	17	SNORD3B-2
2242222	7	NUDT1
44339376	21	AP001062.2
30644633	15	AC091057.6
108620566	4	RPL34
98633547	8	AP003467.2
200891048	1	INAVA
108495475	1	AL392088.2
7549053	8	FAM90A6P
1574975	1	AL645728.1
75099586	10	SAMD8
108308519	11	C11orf65
7539628	8	PRR23D1
167220829	1	POU2F1
167219831	1	AL451050.2
204379095	2	AC106901.1
59728519	11	OR10Y1P
82818661	4	SEC31A
133408006	8	ST13P6
37543553	6	AL353597.2
37545145	6	AL353597.1
167065831	3	PPIAP74
69021656	4	AC107401.1
100381260	8	AP003472.1
66995173	7	TYW1
69004862	4	UGT2B27P
100337595	8	AP001574.1
54387840	CHR_HSCHR19_4_CTG3_1	AC008746.5
68996935	4	AC021146.7
36319792	21	AP000692.2
68985009	4	AC021146.5
97120701	4	AC108515.1
76591023	11	AP001189.2
105744897	2	NCK2
90256495	14	PSMC1
151724831	5	AC011374.2
166293756	3	AC104629.1
32690654	CHR_HSCHR6_MHC_MCF_CTG1	HLA-DQB1-AS1
36295173	21	SRSF9P1
35388121	14	AL133163.1
49951512	12	AC025154.2
242082986	1	PLD5
16014028	1	HSPB7
119579268	3	ADPRH
16232495	16	NOMO3
35568109	17	LINC02001
135245696	9	AL390778.2
149345430	5	GRPEL2
46098193	CHR_HSCHR17_1_CTG5	STH
22436290	21	MAPK6PS2
164555584	1	PBX1
31752967	CHR_HSCHR6_MHC_COX_CTG1	VWA7
34387722	X	AL592043.2
40967505	5	AC114967.1
34147036	X	FTH1P14
164978898	3	SI
219054420	2	IHH
92451684	10	IDE
33726508	X	AL591501.1
1535174	1	TMEM240
119468938	3	POGLUT1
129004502	9	AL592211.1
29139661	16	AC009093.2
30056599	CHR_HSCHR6_MHC_COX_CTG1	PPP1R11
19503861	16	AC130456.6
17511629	19	PGLS
29262273	16	AC009093.4
222945725	1	NDUFB1P2
29312350	16	AC025279.2
114059593	11	ZBTB16
71913704	13	RPS10P21
222658867	1	AL592148.3
144123176	7	OR2A14
112133423	3	AC128688.2
144118461	7	OR2A15P
144109514	7	OR2A2
23381990	14	MYH6
144069811	7	OR2A25
66433452	2	MEIS1
107056679	1	PRMT6
106818239	1	LINC01661
222668013	1	AIDA
106872783	14	IGHV4-80
106802755	1	MTATP6P14
134944275	4	AC104619.4
137110542	9	DPP7
120936102	11	HMGB1P42
131380013	4	LINC02377
189930277	2	AC019178.1
130678935	3	PIK3R4
50912712	6	FTH1P5
59309681	11	OR5AN2P
57471922	16	DOK4
59255360	11	WARSP1
74235801	11	P4HA3
98117297	8	POP1
35224800	19	FAM187B
161426427	3	LINC02067
44300051	21	PFKL
93222220	X	AL359263.1
17214239	10	VIM-AS1
161687347	5	AC091944.1
149576089	6	AL078581.3
32392894	CHR_HSCHR6_MHC_MCF_CTG1	C6orf10
5303444	11	OR51B5
10486807	8	AC104964.4
112086335	3	C3orf52
186635969	3	FETUB
53374149	X	SMC1A
10525546	8	PRSS55
50025135	10	SLC9A3P3
24235078	15	AC087463.4
44741087	X	RPSAP61
12688922	19	AC018761.4
12687998	19	GNG14
13371089	12	LINC01559
46117864	13	AL137141.1
24162754	15	PWRN2
13540231	12	AC007527.2
66748838	7	AC027644.2
6492976	Y	AC010154.1
29071124	17	MYO18A
78753596	5	AC025755.1
9523224	19	ZNF426
161541759	1	FCGR3A
78485215	5	LHFPL2
112120841	3	GCSAM
100644166	X	SRPX2
9518150	19	AC008567.1
111297126	6	AL080317.2
46549580	6	CYP39A1
135445897	X	AL450472.3
38596346	19	AC008649.1
219608347	1	ZC3H11B
103569553	1	ACTG1P4
70310875	9	AL162390.1
74097035	4	CXCL2
154517840	X	AC244090.3
84905625	2	TMSB10
68179833	2	AC017083.2
33512008	1	AC115285.1
106639119	14	IGHV4-61
68125265	2	PPIAP64
106584718	14	IGHVII-51-2
186578279	1	AL096803.1
8391868	11	STK33
85098358	16	FAM92B
74641410	10	NDUFA8P1
120345907	5	AC113418.1
30027713	8	MAP2K1P1
46997596	20	GAPDHP54
123850522	2	AC064859.1
186105668	3	DGKG
5225464	11	HBB
112647044	13	ATP11AUN
15847864	1	SPEN
123762171	2	AC092646.1
15807169	1	UQCRHL
68041130	2	C1D
37204238	22	SSTR3
6436079	19	SLC25A23
51277852	16	UNGP1
185518651	1	AL133383.2
154411518	X	TAZ
34872641	3	FECHP1
90529344	5	ADGRV1
91638847	7	AC000058.1
110869868	10	PDCD4-AS1
38974164	8	HTRA4
67565604	2	AC007422.2
215376484	1	VDAC1P10
91843687	5	PCBP2P3
32291813	21	MRAP
41855920	11	AC023442.3
94577439	10	AL138759.1
69653248	5	AC139495.2
56276529	6	DHFRP6
185157080	1	SWT1
23354748	15	GOLGA8S
185280844	1	AL356273.2
10336782	8	AC112673.1
25218688	6	AL590084.2
185045364	1	RNF2
134296997	6	KRT8P42
185071567	1	FTH1P25
30196443	13	AL157770.1
189784085	2	PMS1
50776141	19	AC010325.1
5128776	11	OR52A5
44147882	X	EFHC2
214603195	1	CENPF
69217760	CHR_HSCHR5_2_CTG1_1	MRPS36
30733457	CHR_HSCHR6_MHC_DBB_CTG1	IER3
202617983	2	MTND4P30
36072441	20	AL035420.1
19823443	20	RPL12P12
151380341	5	AC034205.3
151366433	5	AC034205.2
29577459	6	TMEM183AP1
86302211	11	HIKESHI
129528640	3	RHO
213428708	1	RPL31P13
183636085	1	RGL1
67324627	2	AC023115.1
59380024	3	AC138057.1
92886352	CHR_HSCHR14_7_CTG1	AL117192.2
87151159	6	AL139274.2
105097052	2	AC104655.1
5726449	2	AC010729.1
95225326	15	AC104260.1
54832694	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	KIR2DS4
42917414	5	PRELID3BP6
52061827	X	MAGED4B
89350285	14	AL357093.2
2375061	17	AC006435.2
95625213	2	UBTFL3
84828263	16	AC025280.1
118004819	3	AC068633.1
95588149	2	AC009237.16
31586437	CHR_HSCHR6_MHC_APD_CTG1	PPIAP9
95542730	2	AC009237.5
95537969	2	AC009237.15
54707916	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	LILRP2
57351307	19	ZNF304
57320509	19	ZNF543
22985908	14	C14orf93
57317208	19	AC005261.4
181291673	5	AC008443.7
14792318	19	AC005255.1
86333274	8	AC103760.1
54727609	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	KIR3DL3
69700594	13	KLHL1
52732547	3	AC104446.1
183248237	1	NMNAT2
2752329	16	SRRM2
83161150	6	PGM3
218781749	2	CYP27A1
39252644	17	FBXL20
39873782	11	AC021749.1
35406948	17	AC060766.5
50649445	19	C19orf81
43654907	X	MAOA
33178341	CHR_HSCHR6_MHC_QBL_CTG1	HCG25
52734735	3	AC006254.2
65027408	11	SNX15
65025390	11	AP000436.1
105746245	4	AC008243.1
106511117	14	IGHV1-46
106489345	14	IGHVIV-44-1
91354478	5	AC008799.1
84687351	6	TBX18
3496032	18	DLGAP1
106472791	14	IGHVII-43-1
90839724	15	AC124248.1
36050214	21	RIMKLBP1
35403837	17	AC060766.4
95502791	2	AC009237.2
35400878	17	AC060766.6
18546671	Y	HSFY1
33793644	3	AC112220.3
18491740	Y	AC022486.1
115802363	3	LSAMP
49541767	X	GAGE12D
32114742	CHR_HSCHR6_MHC_MCF_CTG1	CYP21A2
49532211	X	GAGE12C
29803195	6	RPL7AP7
101562536	15	SNRPCP18
44950044	19	AC011481.1
42150511	X	Z92545.1
100529072	10	HIF1AN
54251016	CHR_HSCHR19_4_CTG3_1	LILRB5
16163377	6	AL021407.1
29881709	5	AC010374.1
35954564	20	CNBD2
3177835	5	LINC01377
142858212	CHR_HSCHR7_2_CTG6	TRBJ2-5
149808214	X	MAGEA7P
43772600	15	ELL3
181088712	1	IER5
35217345	15	DPH6
123181638	8	AC068228.1
35282596	15	NUTF2P6
180906651	1	AL162431.1
48663776	3	CELSR3-AS1
30620627	21	KRTAP20-4
134009033	6	AL449363.1
30613431	21	KRTAP6-1
66844379	16	CA7
70543654	CHR_HSCHR5_1_CTG1_1	AC243922.1
9634270	7	AC096553.1
30592440	21	KRTAP6-3
106039666	14	IGHVIII-5-1
30514613	21	KRTAP19-10P
103258572	X	Z68694.1
30501657	21	KRTAP19-5
76190725	11	AP000785.1
106011922	14	IGHV4-4
105369077	4	PPA2
134769566	X	FAM122B
21149648	19	RPL7AP10
61252426	20	CDH4
27445487	CHR_HSCHR10_1_CTG1	PTCHD3
97775057	8	LAPTM4B
81413021	5	SSBP2
49323236	12	TROAP
64958097	13	LGMNP1
73688691	8	AC022826.2
159194325	1	CADM3-AS1
45534522	13	ERICH6B
4954772	11	OR51A2
4881819	11	OR51T1
65116403	11	ZNHIT2
135444214	5	DCANP1
39949646	7	CDK13
130330142	2	AC132479.1
47689707	10	FAM35DP
6045807	11	OR56A7P
179550539	1	NPHS2
128729786	9	ZER1
105945210	14	IGHVII-1-1
56859642	CHR_HG151_NOVEL_TEST	AP001803.4
50050368	14	PDLIM1P1
28599241	16	AC020765.3
9141424	8	AC022784.7
42188266	5	AC108099.1
100345001	1	CDC14A
100344477	1	AC104457.2
75815167	11	UVRAG
8444767	19	HNRNPM
58583504	8	NSMAF
153420677	2	AC012501.2
33804768	11	AC113192.4
158796014	1	OR2AQ1P
28969130	6	KRT18P1
41967139	5	MTHFD2P6
722582	16	CCDC78
45880827	6	CLIC5
67739328	4	GNRHR
14810853	3	FGD5
47987148	7	SUN3
9404954	X	AC073488.7
1801400	5	NDUFS6
73931501	14	FAM161B
26132115	13	RNF6
44914802	15	AC090888.3
150047609	7	AC092666.2
3558492	2	RNASEH1-AS1
31299956	CHR_HSCHR6_MHC_DBB_CTG1	CR759814.1
154295671	X	TKTL1
31272464	CHR_HSCHR6_MHC_DBB_CTG1	RPL3P2
41739369	21	RIPK4
207821288	2	PLEKHM3
199659551	2	SEPHS1P6
99820018	7	CYP3A137P
64823387	11	CDC42BPG
92719393	15	AC091544.1
25937912	9	FAM71BP1
25780056	9	LINC01241
108848186	10	MAPKAPK5P1
55865709	11	AC036111.3
195533035	2	LINC01825
30827442	X	TAB3
48312353	15	AC023355.1
222904640	2	ATG12P2
186486156	2	ZC3H15
43039644	22	TTLL1
25991241	Y	ELOCP11
154196471	X	TEX28P1
25975549	Y	PRYP4
439978	17	RFLNB
25943268	Y	XKRYP6
32863344	CHR_HSCHR6_MHC_QBL_CTG1	HLA-DMB
75562056	11	SERPINH1
67713910	9	AL627230.5
30306065	12	AC078776.2
23443586	5	PRDM9
113850237	3	AC079944.1
156463727	1	MEF2D
142408088	CHR_HSCHR7_2_CTG6	TRBV8-2
6794134	7	CCZ1B
115148764	5	TRIM36-IT1
21303515	13	LINC00539
66979460	9	AL353770.1
23856703	CHR_HSCHR22_1_CTG7	SLC2A11
41890314	9	CNTNAP3B
7113005	X	AC073583.1
172557392	5	LINC01944
55325756	11	OR4A12P
31763228	CHR_HSCHR6_MHC_MCF_CTG1	ABHD16A
36321039	8	AP006245.2
30666650	CHR_HSCHR6_MHC_DBB_CTG1	PPP1R18
54754632	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	KIR2DL2
36277763	8	MTCYBP19
1363582	5	LINC01511
1370543	5	MTCO2P32
142345452	CHR_HSCHR7_2_CTG6	TRBV4-2
55240622	14	AL158801.4
50282343	18	CXXC1
15040743	CHR_HSCHR16_1_CTG1	NTAN1
42871521	10	AL365199.1
1761959	17	SERPINF1
2900898	19	ZNF57
7619525	19	XAB2
96593312	10	PIK3AP1
35976525	CHR_HSCHR17_7_CTG4	CCL16
19237737	8	AC068880.1
41644430	9	FAM27D1
70045915	CHR_HSCHR5_1_CTG1_1	SERF1B
41350853	19	AC011462.1
7595902	19	CAMSAP3
19908268	19	AC007204.1
46499630	20	ZNF334
7909300	7	CCNB2P1
6615617	7	ZNF853
2874950	19	AC006130.2
122960327	11	ATP5PBP5
11352426	11	AC023946.1
42574185	10	ZNF33B
56707293	19	AC006115.3
42513510	10	ZNF37BP
62710036	9	FKBP4P7
42580241	19	CEACAM8
42397128	19	LIPE-AS1
7830233	19	EVI5L
100589402	7	PCOLCE-AS1
21481327	5	AC138951.1
9239986	12	PTMAP4
61145068	2	C2orf74
49016682	4	TPI1P4
29964383	CHR_HSCHR6_MHC_SSTO_CTG1	HCG9
11516425	12	AC007450.2
78959947	15	RASGRF1
20037560	4	AC098862.1
4023917	20	FTLP3
69975238	16	AC026468.1
48986247	4	CWH43
76274049	17	QRICH2
32970376	17	SPACA3
80541300	8	AC009812.4
49155242	X	AC231657.2
3307573	16	AC004232.2
41189833	13	KBTBD7
40286289	12	AC084290.1
18538673	3	RAD23BP1
78174075	17	TK1
3305406	16	ZNF75A
73737854	17	AC125421.1
73786802	17	LINC02092
36425447	11	AC009656.1
42408168	10	CCNYL2
9127783	12	KRT17P8
62444256	9	BX664725.1
123814139	7	HYALP1
20952645	8	AC015468.3
20953127	8	AC015468.1
142320696	CHR_HSCHR7_2_CTG6	TRBV5-1
72196334	8	AC078906.1
75079353	14	NEK9
18025787	Y	CDY2A
57710183	20	NKILA
85214076	8	C8orf59
189095063	2	AC133106.1
15869939	2	AC113608.1
13614111	6	AL441883.1
219358870	2	AC053503.3
19418927	12	AC091805.2
74191388	2	AC073263.3
194730595	2	LINC01790
24139445	14	AL136295.2
33025668	CHR_HSCHR6_MHC_COX_CTG1	COL11A2P1
51829628	15	TMOD3
50350695	3	CYB561D2
148644440	2	EPC2
2920966	18	AP000919.4
32997896	CHR_HSCHR6_MHC_COX_CTG1	HLA-DPB1
87610163	10	AL138767.1
87607985	10	AL138767.3
129526626	6	AL356124.1
63861212	20	AL118506.1
29879053	CHR_HSCHR6_MHC_SSTO_CTG1	HLA-H
29878595	CHR_HSCHR6_MHC_SSTO_CTG1	HCG4P7
122553112	9	OR1N2
122519141	9	OR1J4
28823244	4	MESTP3
27590382	X	DCAF8L2
243124428	CHR_HSCHR1_3_CTG32_1	CEP170
76265202	17	UBALD2
27585145	4	IGBP1P5
19062499	16	AC099518.4
3055890	6	AL031963.2
27427777	X	PTP4A1P5
3045384	6	FAM136BP
22175465	18	AC091588.1
172042073	5	STK10
31637328	11	AC131571.1
27042907	X	AC112493.1
17616043	17	AC020558.3
142240759	CHR_HSCHR7_2_CTG6	MOXD2P
29582099	CHR_HSCHR6_MHC_MANN_CTG1	RPL13AP
31718648	6	LY6G6C
149102784	7	ZNF425
135787840	2	LCT
94991880	2	AC103563.8
56536758	8	AC013644.1
48885019	4	OCIAD2
50365334	3	Z84492.1
51082818	X	AC239367.2
50931114	X	HMGB1P15
19740884	19	AC011477.7
113403991	3	CFAP44-AS1
66082350	9	SNX18P4
28897781	17	DHRS13
94900990	2	MTCO3P45
30984630	16	AC135048.4
67701886	14	RDH12
34784052	8	LINC01288
135181315	6	MYB
586071	1	AL669831.3
64915802	X	ZC4H2
629062	1	MTND1P23
632757	1	MTCO2P12
35626031	20	CPNE1
19668796	19	ZNF101
30569346	16	ZNF688
35358822	1	ZMYM4-AS1
87755955	2	RGPD2
85107147	8	LRRCC1
198148759	CHR_HSCHR3_9_CTG3	AC073135.4
139741349	5	PSD2-AS1
38033546	20	RPRD1B
85244032	X	ZNF711
74199652	7	LAT2
12081237	16	RPS23P6
3463311	4	DOK7
12372812	16	AC007598.1
17729528	Y	PRYP1
11976851	16	AC007216.1
18883502	22	AC008103.1
58581426	19	AC016629.3
55420336	20	LINC01441
229942728	2	FBXO36-IT1
48628675	17	HOXB-AS4
48607227	17	HOXB7
132963770	5	AC010240.3
87301658	2	AC083899.3
18390153	17	AL353997.5
99102018	2	AC019097.1
66022661	9	GXYLT1P4
80344745	10	DYDC2
51765276	14	AL079307.1
80333771	10	AL359195.1
55074644	20	RPL12P4
379359	7	AC226118.1
41221426	19	AC011510.1
21028718	22	SLC7A4
73986404	2	TET3
75002911	14	EIF2B2
111896766	9	UGCG
136909395	X	AL390879.1
182935	7	AC093627.3
18715815	22	PPP1R26P4
98997261	2	TSGA10
97498868	10	UBTD1
21638285	9	AL137022.1
43169008	21	CRYAA
49882999	11	AP006587.2
84755136	X	SETP4
80249710	10	AL359195.2
61227168	11	AP003037.1
18370607	8	NATP
61781745	10	AC022398.1
32876759	17	AC084809.1
18693122	11	TMEM86A
73926826	2	DGUOK
18706537	11	AC103974.1
58192257	3	DNASE1L3
11868128	16	GSPT1
100400826	7	ZCWPW1
98793846	2	KIAA1211L
16530771	3	AC010139.1
38453181	10	AL133216.1
42667914	17	PLEKHH3
34140674	15	KATNBL1
50808874	19	LINC01869
207235299	2	AC007879.4
3339261	11	ZNF195
29708627	CHR_HSCHR6_MHC_SSTO_CTG1	ZDHHC20P1
36773153	19	AC020928.2
65736555	9	FOXD4L4
41819747	2	LDHAP3
41143780	2	HNRNPA1P57
19130523	21	AP000431.1
14672547	CHR_HSCHR16_1_CTG1	PLA2G10
61581813	9	AL935212.4
19046310	21	AP000431.2
191881182	2	DNAJB1P1
106826868	CHR_HSCHR14_3_CTG1	IGHV3-73
15247429	18	BNIP3P3
67676801	14	RDH11
69123512	10	VPS26A
36428990	CHR_HSCHR17_7_CTG4	TBC1D3F
79919357	17	LINC01978
191793425	2	AC098872.1
33591332	8	DUSP26
18595459	11	AC112694.1
31658863	CHR_HSCHR6_MHC_DBB_CTG1	LY6G5C
26504686	8	PNMA2
80150889	10	ANXA11
138286248	9	FO082796.1
41073804	19	AC008962.1
41050449	19	CYP2G2P
109691312	6	FIG4
41246599	3	ULK4
80077707	18	SLC25A6P4
140558268	5	APBB3
72727977	X	AC240504.1
140562443	5	AC116353.4
110289233	5	TMEM232
169158092	6	LINC01615
219904051	2	LINC01803
144397959	6	AL590704.1
34457414	9	DNAI1
44911200	10	TMEM72
80131682	10	PLAC9
110211529	2	SMIM37
110279606	2	AC140479.6
30167163	11	AL358944.1
48805212	4	OCIAD1
143578358	8	AC067930.6
104474939	10	AL161646.1
48189037	15	AC066612.1
79792132	17	CBX8
44811024	10	TMEM72-AS1
23670011	16	AC008870.1
120013005	2	EPB41L5
44958917	10	AL353801.3
28903002	6	TRIM27
20699307	13	AL161772.1
129459559	5	ADAMTS19-AS1
52071355	2	ZNF863P
50829442	2	AC007560.1
50620963	2	AC009234.1
50588690	2	MTCO1P42
51926882	2	AC097463.1
52241765	19	AC010320.5
34704290	20	TP53INP2
232379635	2	AC068134.1
55356308	5	AC020728.1
55530156	5	RNF138P1
20683304	9	FOCAD-AS1
13479724	3	HDAC11
120879256	10	AC010998.2
183071040	2	KRT8P10
138150075	9	TUBBP5
108934181	9	FAM206A
31234337	2	EHD3
35933888	7	AC087072.2
28316986	8	PNOC
29391525	11	AC090124.3
7030554	4	AC097382.2
40121041	20	AL009050.1
17511833	5	AC106774.2
132944000	9	GFI1B
106690773	CHR_HSCHR14_3_CTG1	IGHV3-65
104312141	10	AL162742.2
104309698	10	ITPRIP
32970232	6	AL645941.1
32635122	CHR_HSCHR6_MHC_DBB_CTG1	CR753846.2
32635116	CHR_HSCHR6_MHC_DBB_CTG1	HLA-DQB1-AS1
54115783	13	LINC00458
53815419	13	LINC00558
7665100	11	CYB5R2
3144015	16	CASP16P
73243093	17	AC087301.1
26984776	2	AC013472.1
182909115	2	NCKAP1
24214381	2	AC009228.1
136497079	X	HTATSF1
36467036	22	TXN2
70669365	8	XKR9
69401055	18	DOK6
109497877	5	AC091917.1
237421420	2	AC112721.1
46590669	17	NSF
57703714	11	MED19
60944555	9	AL590491.3
33051515	19	AC008521.1
32879171	6	PPP1R2P1
11488300	3	AC026185.1
10718633	16	MTCYBP33
11529488	3	AC022001.1
2546465	CHR_HSCHR1_1_CTG3	AL139246.9
32444261	17	PSMD11
43741437	10	ELOCP30
70234655	X	AWAT1
1795620	16	HAGH
82427350	9	MTCO3P40
96508425	11	AP003781.1
48185938	17	SKAP1-AS1
43732334	10	UQCRHP3
120258650	X	TMEM255A
143703266	CHR_HSCHR8_3_CTG7	MAPK15
29464128	CHR_HSCHR6_MHC_MANN_CTG1	UBDP1
107543151	9	PPIAP88
35632659	7	HERPUD2
11750586	16	ZC3H7A
18080869	12	RERGL
53567065	20	ZNF217
77526998	17	AC021683.3
77461753	6	HTR1B
40991250	19	CYP2B6
36116566	CHR_HSCHR17_7_CTG4	AC003976.2
13264861	6	AL008729.1
13290018	6	AL008729.2
43109866	9	FP325317.1
21006730	3	AC099753.1
59019254	20	TUBB1
18434388	19	ISYNA1
130245971	2	AC134915.1
130229379	2	NOC2LP1
27700066	12	AC009509.4
27696388	12	AC009509.1
109051315	5	GJA1P1
46689643	16	ORC6
29931616	CHR_HSCHR6_MHC_COX_CTG1	HCG4P5
19360056	X	MAP3K15
86775081	7	AC005009.1
70608577	8	LACTB2-AS1
143766620	2	AC079584.2
76510496	CHR_HSCHR7_2_CTG4_4	UPK3B
73242651	14	AC004846.1
51681353	15	SCG3
34779412	19	AC020910.2
29888080	CHR_HSCHR6_MHC_COX_CTG1	HLA-T
2508533	CHR_HSCHR1_1_CTG3	PANK4
115664895	X	ASS1P5
65020038	5	AC092354.2
53365693	19	ZNF525
46673443	16	AC012186.3
14616428	2	AC011897.1
20341665	9	MLLT3
106302166	CHR_HSCHR14_3_CTG1	IGHV2-26
106289800	CHR_HSCHR14_3_CTG1	IGHV3-25
22893206	14	RBM23
72868388	18	AC091138.1
73828916	2	STAMBP
118575575	5	LINC02216
86854696	10	RPAP2P1
14361434	18	AP005212.1
14346214	18	AP005212.3
19747823	10	MTND2P16
9666885	16	AC007218.1
33206431	16	AC141257.2
1902647	11	LINC01150
29220864	19	AC007786.2
2019298	1	GABRD
119402792	11	AP003396.2
35983656	17	CCL15-CCL14
35666516	19	UPK1A
55538200	16	AC007336.1
119444991	11	DUXAP5
119417951	11	AP003396.5
11288205	17	AC005725.1
29205321	19	UQCRFS1
5233997	12	LINC02443
63632233	11	IMMP1LP1
113522482	X	AC233289.1
63299247	X	CBX1P1
28455752	17	AC005726.1
